index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
a6f6adf31f8406f93b6d6b3a1589a812,2025-10-01T04:09:13Z,'wildfire heat',www.rd.com,en,0,This One Type of Plant Can Actually Protect Your Home from a Wildfire,"These fire-resistant plants prove that the best landscaping choices may be about more than just aesthetics.
The post This One Type of Plant Can Actually Protect Your Home from a Wildfire appeared first on Reader's Digest.",https://www.rd.com/article/fire-resistant-plants/,https://www.rd.com/wp-content/uploads/2025/10/This-One-Type-of-Plant-Can-Actually-Protect-Your-Home-from-a-Wildfire_GettyImages-1453502204_FT.jpg,,"Skip to main content
These fire-resistant plants prove that the best landscaping choices may be about more than just aesthetics
We never think a wildfire will affect us until it does. In the last y… [+10708 chars]",
0d16e9da3ec1decda506fe0ae6688980,2025-10-01T13:38:47Z,'wildfire',www.cbc.ca,en,0,More homes evacuated as wildfire burns in Kings County,The alert says residents are asked to leave immediately and register at the reception centre at the Louis Millett Centre in New Minas.,https://www.cbc.ca/news/canada/nova-scotia/lake-george-wildfire-wednesday-oct-1-1.7647899,https://i.cbc.ca/1.7647901.1759322500!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/lake-george-fire.jpg?im=Resize%3D620,,"More homes are being evacuated as a wildfire burns out of control near Lake George in Kings County.
An alert issued at 10:14 a.m. AT says the new evacuations are for Aylesford Road from Fox Mountain… [+1375 chars]",
c080408d9f5dd350a5b9d4408d1c1eb2,2025-10-01T14:00:00Z,'wildfire smoke',journals.plos.org,en,0,"Bacteria isolated from the grape phyllosphere capable of degrading guaiacol, a main volatile phenol associated with smoke taint in wine","Recent wildfires near vineyards in the Pacific United States have caused devastating financial losses due to smoke taint in wine. When wine grapes (Vitis vinifera) are exposed to wildfire smoke, their berries absorb volatile phenols derived from the lignin of…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0331854,https://journals.plos.org/plosone/article/figure/image?id=10.1371/journal.pone.0331854.g006&size=inline,,"Abstract
Recent wildfires near vineyards in the Pacific United States have caused devastating financial losses due to smoke taint in wine. When wine grapes (Vitis vinifera) are exposed to wildfire s… [+63714 chars]",
a95eef4a27c9557a3ac233416e11b599,2025-10-01T17:12:50Z,'wildfire relief',www.overdriveonline.com,en,0,"Government shutdown: Business as usual for FMCSA | Wildfires, HOS relief","FMCSA's operations will ""continue as normal"" despite the federal government shutdown. Plus, Oregon's emergency HOS relief extended; Colorado rest area reopens with additional truck parking.",https://www.overdriveonline.com/regulations/article/15768370/government-shutdown-to-have-little-trucking-impact-wildfires-hos-relief,https://img.overdriveonline.com/mindful/rr/workspaces/default/uploads/2025/10/congress-building-washington-dc-adobestock-191110992.uNl9ZnBEJ2.jpg?auto=format%2Ccompress&fit=max&q=70&w=1200,,"Trucking news and briefs for Wednesday, Oct. 1, 2025:
<ul><li>How will trucking be impacted by the government's shutdown?</li><li>More HOS relief out West.</li><li>New truck parking available on thi… [+4373 chars]",
19f90ea65f4e8af3f4a2b06fb41b477b,2025-10-01T17:57:16Z,'wildfire',www.thehollywoodgossip.com,en,0,Shaquille O’Neal: Is He Dating 21-Year-Old OnlyFans Star Sophie Rain?,"Reading Time: 2 minutesA rumor about Shaq and Sophie Rain is spreading like wildfire.
Shaquille O’Neal: Is He Dating 21-Year-Old OnlyFans Star Sophie Rain? was originally published on The Hollywood Gossip.",http://www.thehollywoodgossip.com/2025/10/shaquille-oneal-sophie-rain-relationship-rumors/,https://cdn.thehollywoodgossip.com/uploads/2025/10/1001_shaquilleoneal_header-scaled.jpg,,"Reading Time: 2minutesIs Shaquille O’Neal dating OnlyFans star Sophie Rain?
The basketball legend has had his share of relationships over the years. He remains widely desired.
Rumors began to circu… [+2473 chars]",
f45679aaa2a669be79b9512adebf68aa,2025-10-01T18:00:17Z,'wildfire smoke',gizmodo.com,en,0,"Scientists Just Found a Clever ‘Fix’ for Smoky, Wildfire-Tainted Wine",Smokey-tasting wine has cost the industry billions of dollars. A particular species of bacteria could help solve this problem.,https://gizmodo.com/scientists-just-found-a-clever-fix-for-smoky-wildfire-tainted-wine-2000666154,https://gizmodo.com/app/uploads/2025/10/wildfire-smoke-Napa-Valley-vineyard-1200x675.jpg,,Wildfires are becoming more frequent and severe on the U.S. West Coasta region that produces the vast majority of the countrys wine. The resulting smoke has proven to be a costly problem for winemake… [+3274 chars],
7688fa0dbd58d3ce24cdb79c05258749,2025-10-01T18:07:16Z,'wildfire',finance.yahoo.com,en,0,S&P Downgrades Edison International (EIX) to BBB- on Concerns About Wildfire Fund,"Edison International (NYSE:EIX) is one of the S&P 500 stocks with a low PE ratio. On September 17, concerns over a diminishing wildfire fund led S&P Global...",https://finance.yahoo.com/news/p-downgrades-edison-international-eix-180716585.html,https://s.yimg.com/ny/api/res/1.2/HZg_NWyvZcB12gnKrOKfrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/insidermonkey.com/1ab8be81ad68ad762058194f5d82604a,,"Edison International (NYSE:EIX) is one of the S&amp;P 500 stocks with a low PE ratio. On September 17, concerns over a diminishing wildfire fund led S&amp;P Global Ratings to downgrade Edison Interna… [+2183 chars]",
63e2978d85b293b297399a33ecd3d1f4,2025-10-01T22:44:23Z,'wildfire evacuation',www.kpbs.org,en,0,"San Diego County supervisors to consider project for Harmony Grove, Elfin Forest","The county Board of Supervisors Wednesday will consider approving a proposed housing development in the communities of Harmony Grove and Elfin Forest, opposed by some residents concerned over a lack of evacuation points during a wildfire.",https://www.kpbs.org/news/politics/2025/10/01/san-diego-county-supervisors-to-consider-project-for-harmony-grove-elfin-forest,https://cdn.kpbs.org/dims4/default/7da7a09/2147483647/strip/true/crop/1920x1008+0+36/resize/1200x630!/quality/90/?url=http%3A%2F%2Fkpbs-brightspot.s3.us-west-2.amazonaws.com%2Fd6%2Fc7%2F91f26f2747f9878549f812a6c3c8%2Fimg-6586.JPG,,"The county Board of Supervisors Wednesday will consider approving a proposed housing development in the communities of Harmony Grove and Elfin Forest, opposed by some residents concerned over a lack … [+4646 chars]",
714ac7c07b5daac95564cd7c71fc28d6,2025-10-01T23:15:00Z,'wildfire',radaronline.com,en,0,EXCLUSIVE: The 'Cheating' Rumor Dogging Keith Urban — Which Could Put His Prenup Millions in Peril,A cheating rumor that has spread like wildfire could put Keith Urban’s prenup millions in peril amid his split from Nicole Kidman.,https://radaronline.com/p/keith-urban-cheating-rumor-threatens-prenup-millions/,https://media.radaronline.com/brand-img/71d2FLybi/1200x628/cheating-rumour-dogging-keith-urban-which-could-put-his-pre-nup-millions-in-peril13-1759339876520.jpg,,"Hints of marital trouble had surfaced earlier between the pair. In July, Urban abruptly ended a radio interview after being asked about Kidman's intimate scenes in Babygirl and A Family Affair. At th… [+852 chars]",
2b480009373380faf3277bc46e049790,2025-10-02T01:27:14Z,'wildfire',www.ibtimes.com,en,0,Rising Wildfires Spur Comeback For Canadian Water Bomber,The Canadair water bomber revolutionized the fight against wildfires after it debuted in the skies decades ago.,https://www.ibtimes.com/rising-wildfires-spur-comeback-canadian-water-bomber-3785168,https://d.ibtimes.com/en/full/4625108/canadair-cl-415-planes-workhorse-international-aerial-efforts-fight-blazes-are-making.jpg,,"The Canadair water bomber revolutionized the fight against wildfires after it debuted in the skies decades ago.
Then demand waned and production stopped, but with major blazes intensifying globally,… [+2888 chars]",
