,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
California,California,GPE,0.04087385,1.88005641,en,246.90000000,,-1,,,,,,
Los Angeles,Los Angeles,GPE,-0.07567507,2.94451016,en,166.90000000,,-1,,,,,,
Australia,Australia,GPE,0.10146760,0.58491877,en,87.20000000,,-1,,,,,,
Victoria,Victoria,GPE,0.00023360,0.71259230,en,48.70000000,,-1,,,,,,
B.C.,B.C.,GPE,0.05518252,1.21052886,en,46.40000000,,-1,,,,,,
Canada,Canada,GPE,0.25236892,3.65700203,en,44.30000000,4029456-0,6251999,X,60.10866900,-113.64257900,NORTH-AMERICA,Canada,NWN
Colorado,Colorado,GPE,0.29533763,1.14461809,en,40.90000000,,-1,,,,,,
Texas,Texas,GPE,-0.11670879,1.40514086,en,34.20000000,4059594-8,4736286,X,31.25044000,-99.25060900,NORTH-AMERICA,United States,CNA
U.S.,U.S.,GPE,0.18704965,3.39089298,en,33.10000000,,-1,,,,,,
LA,LA,GPE,0.03788595,1.27909117,en,32.60000000,,-1,,,,,,
LOS ANGELES,LOS ANGELES,GPE,0.06634236,1.23188028,en,29.60000000,,-1,,,,,,
Manitoba,Manitoba,GPE,-0.04662521,4.44645010,en,28.90000000,4100106-0,6065171,X,55.90000000,-97.89999900,NORTH-AMERICA,Canada,NEN
L.A.,L.A.,GPE,0.26475459,2.16841869,en,26.50000000,,-1,,,,,,
Los Angeles County,Los Angeles County,GPE,-0.04676185,1.93676058,en,25.40000000,,-1,,,,,,
Southern California,Southern California,LOC,-0.06993747,2.63661998,en,24.80000000,,-1,,,,,,
US,US,GPE,0.32852787,2.39924975,en,22.90000000,,-1,,,,,,
Oregon,Oregon,GPE,0.25039301,1.26680439,en,22.20000000,4043760-7,5744337,X,44.29999900,-120.50139000,NORTH-AMERICA,United States,WNA
Pacific Palisades,Pacific Palisades,GPE,-0.13634776,1.41653143,en,21.70000000,,-1,,,,,,
Spain,Spain,GPE,0.38799566,3.87478425,en,20.00000000,4055964-6,2510769,X,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Alberta,Alberta,GPE,0.25621945,3.52498733,en,19.80000000,4001049-1,5883102,X,52.28332900,-117.46899900,NORTH-AMERICA,Canada,NWN
Calif.,Calif.,GPE,0.21154105,1.35248136,en,19.00000000,,-1,,,,,,
Perth,Perth,GPE,0.08154416,0.39172204,en,17.20000000,,-1,,,,,,
Namibia,Namibia,GPE,0.28858204,0.62621124,en,17.20000000,4075202-1,3355338,X,-22.00000000,17.00000000,AFRICA,Namibia,WSAF
Earth,Earth,LOC,0.22936751,1.17469082,en,16.30000000,,-1,,,,,,
Altadena,Altadena,GPE,-0.02424101,1.35833157,en,15.90000000,,-1,,,,,,
Newfoundland,Newfoundland,GPE,0.32067029,1.53316772,en,15.30000000,,-1,,,,,,
Melbourne,Melbourne,GPE,0.04022508,0.29125499,en,15.30000000,4038526-7,2158177,X,-37.81400000,144.96332000,OCEANIA,Australia,SAU
Maui,Maui,LOC,0.33562450,1.44719645,en,13.30000000,,-1,,,,,,
New South Wales,New South Wales,GPE,0.12790531,0.66652472,en,13.10000000,,-1,,,,,,
Washington,Washington,GPE,0.16664177,1.08994807,en,12.40000000,4118995-4,5815135,X,47.50012000,-120.50146900,NORTH-AMERICA,United States,WNA
Longwood,Longwood,GPE,0.02612994,0.33333333,en,11.80000000,,-1,,,,,,
