,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Donald Trump,Donald Trump,PERSON,-0.005244476933073421,0.29380198180636785,en,114,,,,,,
Gavin Newsom,Gavin Newsom,PERSON,-0.08454406704406704,0.2941126234876234,en,104,,,,,,
Karen Bass,Karen Bass,PERSON,-0.10618025634496225,0.4716344188853992,en,75,,,,,,
Ricardo Lara,Ricardo Lara,PERSON,0.05475829725829724,0.18619167869167869,en,36,,,,,,
Heidi Montag,Heidi Montag,PERSON,-0.018171296296296297,0.13429783950617283,en,36,,,,,,
Spencer Pratt,Spencer Pratt,PERSON,0.008449074074074074,0.17357253086419752,en,36,,,,,,
Billie Eilish,Billie Eilish,PERSON,0.10769816390506044,0.33112479474548445,en,29,,,,,,
Meghan Markle,Meghan Markle,PERSON,0.023772727272727275,0.3147878787878788,en,25,,,,,,
Flin Flon,Flin Flon,PERSON,-0.022714646464646458,0.37404040404040406,en,22,,,,,,
Matthew McConaughey,Matthew McConaughey,PERSON,-0.020414600550964192,0.34189072543617993,en,22,,,,,,
Lady Gaga,Lady Gaga,PERSON,0.14688852813852815,0.4211011904761904,en,20,,,,,,
Joseph Kling,Joseph Kling,PERSON,0.004364699627857521,0.292278043593833,en,19,,,,,,
Mike Johnson,Mike Johnson,PERSON,-0.04083333333333334,0.1713888888888889,en,15,,,,,,
Jonathan Rinderknecht,Jonathan Rinderknecht,PERSON,-0.0695045695045695,0.17365319865319864,en,14,,,,,,
Taylor Swift,Taylor Swift,PERSON,-0.07062337662337663,0.36763636363636365,en,14,,,,,,
Steve Soboroff,Steve Soboroff,PERSON,-0.08090277777777777,0.40104166666666674,en,12,,,,,,
Scott Moe,Scott Moe,PERSON,-0.07083333333333333,0.17407407407407408,en,12,,,,,,
Kristin Crowley,Kristin Crowley,PERSON,-0.20319444444444446,0.4684722222222222,en,12,,,,,,
Chris Wilson,Chris Wilson,PERSON,0.0017234848484848507,0.2562689393939394,en,11,,,,,,
Paul Greengrass,Paul Greengrass,PERSON,0.1812950937950938,0.5363546176046176,en,11,,,,,,
Louise Hamlin,Louise Hamlin,PERSON,0.0017234848484848507,0.2562689393939394,en,11,,,,,,
Luka Doncic,Luka Doncic,PERSON,0.025656565656565662,0.4782070707070707,en,10,,,,,,
Nancy Wallace,Nancy Wallace,PERSON,-0.13551440329218106,0.37341563786008236,en,9,,,,,,
Evan Spiegel,Evan Spiegel,PERSON,0.03287037037037036,0.4759259259259259,en,9,,,,,,
Bill Burr,Bill Burr,PERSON,0.017045454545454544,0.0625,en,8,,,,,,
Peter Akemann,Peter Akemann,PERSON,0.025694444444444447,0.5201388888888889,en,8,,,,,,
Guillermo del Toro,Guillermo del Toro,PERSON,0.06689814814814815,0.3012152777777778,en,8,,,,,,
Arnold Schwarzenegger,Arnold Schwarzenegger,PERSON,0.03333333333333333,0.04583333333333333,en,8,,,,,,
Henry McMaster,Henry McMaster,PERSON,0.06666666666666668,0.18333333333333332,en,8,,,,,,
Lac du Bonnet,Lac du Bonnet,PERSON,0.08809523809523809,0.3238095238095238,en,7,,,,,,
Katie Hobbs,Katie Hobbs,PERSON,0.08333333333333334,0.5952380952380951,en,7,,,,,,
Lucy Dacus,Lucy Dacus,PERSON,0.125,0.48214285714285715,en,7,,,,,,
Eva Longoria,Eva Longoria,PERSON,-0.25357142857142856,0.5892857142857143,en,7,,,,,,
Berkshire Hathaway,Berkshire Hathaway,PERSON,0.017857142857142856,0.20833333333333331,en,7,,,,,,
Adam Schiff,Adam Schiff,PERSON,0.13118686868686869,0.4327922077922078,en,6,,,,,,
Wab Kinew,Wab Kinew,PERSON,0.028472222222222218,0.4458333333333333,en,6,,,,,,
