keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'bushfire',en,Hazard,#4287f5,#022f78,3,0.2284245225741469
'wildfire',en,Hazard,#4287f5,#638ed4,3,0.1465128697999941
'wildfire victims',en,Impacts,#a89216,#87830f,2,0.092520121834591
'wildfire area',en,Hazard,#4287f5,#315fa8,3,0.0896395800577946
'wildfire residents',en,Impacts,#a89216,#87830f,3,0.0869616774546775
'wildfire smoke',en,Impacts,#a89216,#bfba22,3,0.081474124293461
'wildfire disaster',en,Impacts,#a89216,#87830f,3,0.0806119736997075
'wildfire weather',en,Causes,#679e2c,#61d01c,3,0.0783689193647384
'wildfire hot',en,Causes,#679e2c,#7db344,3,0.0765046024493723
'wildfire heat',en,Causes,#679e2c,#7db344,3,0.0763797896760711
'wildfire relief',en,Mitigation,#9e3215,#802d16,2,0.0758284748148874
'wildfire health',en,Impacts,#a89216,#bfba22,3,0.0748954467732722
'forest fire',en,Hazard,#4287f5,#3b4a63,3,0.0727040182951796
'wildfire wind',en,Causes,#679e2c,#679e2c,3,0.0702115986181366
'wildfire damage',en,Impacts,#a89216,#c4b03b,3,0.0696243570738583
'wildfire house',en,Impacts,#a89216,#a89216,3,0.0686832061495037
'wildfire insurance',en,Mitigation,#9e3215,#802d16,3,0.0674577169350418
'wildfire climate change',en,Causes,#679e2c,#477515,3,0.0663011541231471
'wildfire evacuation',en,Mitigation,#9e3215,#9e3215,2,0.0595552387674631
'wildfire brigade',en,Mitigation,#9e3215,#802d16,1,0.0568452354286282
'wildfire death',en,Impacts,#a89216,#87830f,3,0.0551825531806818
'wildfire dryness',en,Causes,#679e2c,#61b00c,1,0.0546201139933558
'wildfire buildings',en,Impacts,#a89216,#a89216,2,0.0487942238480619
'wildfire military',en,Mitigation,#9e3215,#d64118,3,0.0418054054282606
'wildfire donation',en,Mitigation,#9e3215,#802d16,1,0.0398344068474296
'wildfire solidarity',en,Mitigation,#9e3215,#b55035,1,0.0223302806180431
'wildfire hectar',en,Hazard,#4287f5,#315fa8,1,3.842185960163573e-07
